Profile Name,Start Time,Duration,Title
Berkay,2023-05-02 19:37:27,00:00:09,My Neighbor Totoro_hook_03_16x9
Berkay,2023-05-02 19:36:42,00:00:26,Ponyo on the Cliff by the Sea_hook_01_16x9
Berkay,2023-05-02 19:35:28,00:00:12,Season 1 Villain / Antagonist Clip: Lookism
Berkay,2023-05-02 19:35:03,00:00:05,Season 1 Trailer: Baki Hanma
Berkay,2023-05-02 19:34:19,00:00:13,Spirited Away_hook_primary_16x9
Berkay,2023-04-29 07:12:10,00:00:01,Breaking Bad: Season 4: Salud (Episode 10)
Berkay,2023-04-29 06:32:54,00:39:09,Breaking Bad: Season 4: Bug (Episode 9)
Berkay,2023-04-29 06:31:59,00:00:41,Breaking Bad: Season 4: Hermanos (Episode 8)
Berkay,2023-04-29 06:27:15,00:04:09,Breaking Bad: Season 4: Bug (Episode 9)
Berkay,2023-04-29 02:39:12,00:00:02,Breaking Bad: Season 4: Bug (Episode 9)
Berkay,2023-04-28 20:33:29,00:06:41,Breaking Bad: Season 4: Bug (Episode 9)
Berkay,2023-04-28 19:43:20,00:49:53,Breaking Bad: Season 4: Hermanos (Episode 8)
Berkay,2023-04-28 19:13:01,00:26:14,Breaking Bad: Season 4: Problem Dog (Episode 7)
Berkay,2023-04-28 17:21:57,00:27:01,Breaking Bad: Season 4: Problem Dog (Episode 7)
Berkay,2023-04-28 16:25:47,00:47:52,Breaking Bad: Season 4: Cornered (Episode 6)
Berkay,2023-04-28 15:29:55,00:46:29,Breaking Bad: Season 4: Shotgun (Episode 5)
Berkay,2023-04-28 15:14:50,00:14:10,Breaking Bad: Season 4: Bullet Points (Episode 4)
Berkay,2023-04-28 13:25:52,00:23:15,Breaking Bad: Season 4: Bullet Points (Episode 4)
Berkay,2023-04-24 21:53:23,00:09:33,Breaking Bad: Season 4: Bullet Points (Episode 4)
Berkay,2023-04-24 15:42:38,00:00:01,Breaking Bad: Season 4: Bullet Points (Episode 4)
Berkay,2023-04-24 14:57:03,00:42:47,Breaking Bad: Season 4: Open House (Episode 3)
Berkay,2023-04-23 19:56:22,00:08:26,Breaking Bad: Season 4: Open House (Episode 3)
Berkay,2023-04-23 19:06:49,00:49:02,Breaking Bad: Season 4: Thirty-Eight Snub (Episode 2)
Berkay,2023-04-23 19:06:37,00:00:07,Breaking Bad: Season 4: Box Cutter (Episode 1)
Berkay,2023-04-23 19:06:00,00:00:19,Breaking Bad: Season 4: Thirty-Eight Snub (Episode 2)
Berkay,2023-04-23 19:03:05,00:02:54,Breaking Bad: Season 4: Box Cutter (Episode 1)
Berkay,2023-04-23 18:57:26,00:03:13,Breaking Bad: Season 4: Box Cutter (Episode 1)
